Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
12079.00000,-0.01727,-0.51271,24.15800,276.36430,1.00000,0.00000,0.00000,0.00000,0.00000,505.01230,139.18860,2347.47200,-2.60648,138.22550,-0.15445,58.64400,74.39000,0.00000,1.00000,0.00000,106.89650,3258.00000,7439.00000,0.00000,4.00000,0.27583,1.16579,1.02740,-0.19775,NaN,NaN,395.20600,303.32230,1.09489,841.75000,831.89200,620.51370,-163.23390,1132.50300,3012.34100,111.95680,112.34470,110.39010,110.79260,17.22282,53.24784,62.97246,62.55382,78.51910,842.11980,842.55050,832.57960,832.68320,3079.24500,587.84610,4080.57100,2664.74100,0.00000,2.47746,3.98745,1.27191,38.32161,65.00000,76.00000
12089.00000,0.00273,0.08521,24.17800,276.96220,1.00000,0.00000,0.00000,0.00000,0.00000,505.40220,139.21280,2347.02400,-2.37631,138.57280,-0.14252,48.13200,80.39000,0.00000,1.00000,0.00000,107.61920,2674.00000,8039.00000,0.00000,4.00000,-0.00045,0.59602,0.94386,-0.61048,NaN,NaN,438.07400,424.40950,0.00165,849.20000,841.22500,858.03370,-27.08228,1533.35700,3011.99900,113.34310,113.70490,113.93630,114.57460,20.89591,53.25925,63.03582,65.07331,79.25024,849.47340,849.99520,842.07320,842.92550,2802.34900,569.68700,3168.89500,639.12650,0.00000,2.55684,3.91620,1.27860,39.49981,64.00000,82.00000
12099.00000,0.02273,0.68739,24.19800,277.56440,1.00000,0.00000,0.00000,0.00000,0.00000,505.79070,139.23660,2346.56800,-2.18472,138.99580,-0.14734,37.63800,86.39000,0.00000,1.00000,0.00000,108.30400,2091.00000,8639.00000,0.00000,4.00000,0.00015,0.53718,1.18785,-0.65276,NaN,NaN,510.98700,455.55220,0.00429,865.45900,878.92600,719.53540,1409.03100,2056.61600,2882.59200,116.60080,116.82270,118.49870,118.89300,24.82737,53.75558,62.25642,67.47321,80.45158,867.13370,866.94250,881.36660,881.26750,2120.51800,1226.13800,3252.16500,1099.99300,0.00000,2.64945,3.82028,1.28517,40.95148,65.00000,84.00000
12109.00000,0.04273,1.29468,24.21800,278.17170,1.00000,0.00000,0.00000,0.00000,0.00000,506.17920,139.26010,2346.10700,-2.05804,139.49030,-0.24347,27.14400,92.39000,0.00000,1.00000,0.00000,109.13530,1508.00000,9239.00000,0.00000,4.00000,0.00075,0.75570,1.40757,-0.41367,NaN,NaN,582.82200,493.99800,0.00736,897.40000,898.09900,547.01890,992.65920,2516.65600,3122.98100,123.03320,123.13380,117.09120,117.41970,23.98195,54.41588,61.76078,68.95438,80.72710,900.84840,900.41010,896.76930,896.25740,1733.15400,1097.22900,4287.07200,2404.23600,0.00000,2.60973,3.82309,1.28376,40.56899,66.00000,84.00000
12119.00000,0.06273,1.90747,24.23800,278.78450,1.00000,0.00000,0.00000,0.00000,0.00000,506.56960,139.28290,2345.64000,-1.97119,139.96150,-0.30884,16.63200,98.39000,0.00000,1.00000,0.00000,110.10420,924.00000,9839.00000,0.00000,4.00000,0.00136,0.81726,1.37754,-0.26433,NaN,NaN,603.34000,523.80270,0.01067,949.20500,871.10200,529.67900,468.71620,2643.03800,3219.61100,129.17150,129.43930,114.21070,114.51970,18.22923,54.60423,61.66676,69.34544,79.94327,952.48040,952.68400,869.88190,868.90810,2359.10800,1025.82600,4775.73700,2991.61000,0.00000,2.55515,3.86382,1.28038,39.80626,65.00000,81.00000
12129.00000,0.08273,2.52583,24.25800,279.40280,1.00000,0.00000,0.00000,0.00000,0.00000,506.96250,139.30490,2345.16800,-1.88809,140.31980,-0.26083,6.13800,100.00000,0.00000,1.00000,0.00000,111.06570,341.00000,10000.00000,0.00000,4.00000,0.00197,0.77138,1.43924,-0.18962,NaN,NaN,584.49000,539.92850,0.01398,985.78700,866.98200,1037.43800,354.01060,2526.52200,2961.92900,131.75410,132.08170,115.10270,115.65010,13.51291,53.94572,61.49855,69.53782,79.45168,986.95750,987.66780,868.16500,869.68350,2876.42900,1203.86000,5164.69400,2298.22600,0.00000,2.61826,3.88849,1.28085,40.23911,64.00000,81.00000
12139.00000,0.10273,3.14980,24.27800,280.02680,1.00000,0.00000,0.00000,0.00000,0.00000,507.35870,139.32670,2344.69200,-1.81836,140.58430,-0.23090,0.00000,100.00000,0.00000,1.00000,0.00000,112.07020,0.00000,10000.00000,0.00000,4.00000,0.00259,0.72761,1.50250,-0.12886,NaN,NaN,582.07400,547.72440,0.01722,996.87000,874.30600,912.30360,421.35160,2568.56000,3051.63300,132.00760,132.34420,115.79480,116.21320,9.26333,53.18630,60.93961,69.61784,79.08705,996.76680,996.80490,874.70500,874.43860,2929.46100,1418.44700,4714.68200,2862.34200,0.00000,2.67827,3.88956,1.28229,40.77858,63.00000,81.00000
12149.00000,0.12273,3.78017,24.29800,280.65710,1.00000,0.00000,0.00000,0.00000,0.00000,507.75840,139.34880,2344.21100,-1.77997,140.76400,-0.25256,0.00000,100.00000,0.00000,1.00000,0.00000,113.13200,0.00000,10000.00000,0.00000,4.00000,0.00321,0.71224,1.57633,-0.08002,NaN,NaN,587.19700,553.34430,0.02047,995.18300,879.01100,913.51900,78.92798,2636.48800,3048.05800,130.91760,131.21980,116.30870,116.65830,5.19091,52.40676,60.30488,69.79099,77.90825,994.23400,994.44620,879.38450,879.23390,3148.53000,1715.01300,4817.76300,3207.97000,0.00000,2.74608,3.92238,1.28260,41.18017,62.00000,80.00000
12159.00000,0.14273,4.41689,24.31800,281.29390,1.00000,0.00000,0.00000,0.00000,0.00000,508.16160,139.37180,2343.72500,-1.77844,140.86690,-0.27130,0.00000,100.00000,0.00000,1.00000,0.00000,114.23410,0.00000,10000.00000,0.00000,4.00000,0.00384,0.60013,1.59441,-0.00364,NaN,NaN,600.39700,558.66940,0.02377,983.83100,885.05800,800.44730,202.15890,2787.11700,3040.88600,129.65160,129.93710,117.17290,117.51670,2.33629,51.89362,59.39859,69.73827,76.95300,983.14950,983.08110,885.34540,885.35910,3041.02300,1721.58800,5154.63300,3458.21900,0.00000,2.86918,3.93378,1.28517,42.17545,61.00000,79.00000
