Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
23609.00000,-0.02614,-0.57160,47.21800,292.51070,1.00000,0.00000,0.00000,0.00000,0.00000,512.49890,139.25380,2356.93000,-1.71332,115.37500,0.10266,66.60000,0.00000,0.00000,1.00000,0.00000,78.55868,3700.00000,0.00000,0.00000,4.00000,0.29212,1.27094,-0.30041,0.08935,NaN,NaN,-28.64100,91.53508,0.32658,595.66200,593.22500,-39.88562,-510.41140,-34.71100,-444.19600,79.79300,77.30746,79.32925,77.18812,29.58141,49.03621,57.72698,71.38890,79.64214,606.29740,584.54900,602.50990,583.69010,3943.95300,1039.05800,4568.71600,2254.75400,11.19994,2.87925,3.73732,1.25631,43.51572,58.00000,84.00000
23619.00000,-0.00614,-0.13620,47.23800,292.94610,1.00000,0.00000,0.00000,0.00000,0.00000,512.88100,139.27260,2356.71900,-1.74625,115.96560,0.02114,72.59399,0.00000,0.00000,1.00000,0.00000,78.36483,4033.00000,0.00000,0.00000,4.00000,-0.00053,1.30784,-0.30776,-0.02667,NaN,NaN,-28.54300,28.57938,-0.00012,593.09900,591.36900,-43.87835,-501.38790,-38.18600,-436.34300,79.60431,76.98849,79.12893,76.92827,31.57698,49.77855,58.47388,71.45161,80.06194,603.72920,582.16760,600.57320,581.70790,3807.69100,1104.89700,3810.02200,1507.25500,3.19994,2.86634,3.81260,1.28069,42.91612,59.00000,85.00000
23629.00000,0.01386,0.29819,47.25800,293.38050,1.00000,0.00000,0.00000,0.00000,0.00000,513.25920,139.29040,2356.50400,-1.75021,116.60040,-0.02997,78.58800,0.00000,0.00000,1.00000,0.00000,78.16789,4366.00000,0.00000,0.00000,4.00000,-0.00009,0.90270,-0.31142,-0.24000,NaN,NaN,-28.42600,28.52306,-0.00027,591.22300,589.01400,-47.54886,-505.35710,-41.38000,-439.79700,79.51160,76.64985,78.89964,76.88898,34.92180,50.52304,58.94953,72.11923,81.23505,602.45560,579.73720,598.54400,579.17620,3620.56100,1250.12700,2993.27300,492.18800,0.00000,2.83505,3.79073,1.29167,42.78819,60.00000,88.00000
23639.00000,0.03386,0.73179,47.27800,293.81410,1.00000,0.00000,0.00000,0.00000,0.00000,513.63340,139.30750,2356.28300,-1.75836,117.30100,-0.06998,84.60000,0.00000,0.00000,1.00000,0.00000,77.96139,4700.00000,0.00000,0.00000,4.00000,0.00034,1.16359,-0.32769,-0.31161,NaN,NaN,-28.37800,28.47394,-0.00043,589.58600,588.14000,-47.82880,-534.52560,-41.62400,-465.18200,79.45541,76.29844,78.83766,77.57715,38.06872,51.40144,59.20103,72.97411,83.02626,601.75790,577.19260,596.08600,580.58970,3434.29900,1239.51400,3661.98600,0.00000,0.00000,2.81131,3.69157,1.29398,43.23178,61.00000,91.00000
23649.00000,0.05386,1.16421,47.29800,294.24650,1.00000,0.00000,0.00000,0.00000,0.00000,514.00350,139.32390,2356.05800,-1.79276,118.06170,-0.09378,90.59400,0.00000,0.00000,1.00000,0.00000,77.76102,5033.00000,0.00000,0.00000,4.00000,0.00078,1.62378,-0.33362,0.22749,NaN,NaN,-28.22200,28.44945,-0.00058,587.87100,584.91500,-49.02694,-499.25890,-42.66600,-434.49000,79.21198,76.07001,78.82031,75.83794,37.79333,51.68492,59.89024,72.38117,81.40704,600.72310,574.80880,597.83000,573.16470,4137.62600,781.09510,5379.40400,3445.15600,0.00000,2.77967,3.74841,1.29185,42.58017,61.00000,85.00000
23659.00000,0.07386,1.59501,47.31800,294.67730,1.00000,0.00000,0.00000,0.00000,0.00000,514.36880,139.33910,2355.82700,-1.78543,118.82260,0.07892,96.58800,0.00000,0.00000,1.00000,0.00000,77.52287,5366.00000,0.00000,0.00000,4.00000,0.00121,1.62087,-0.35965,0.29148,NaN,NaN,-28.24000,28.40652,-0.00073,586.14500,585.50700,-49.71847,-511.99160,-43.26800,-445.57100,78.94626,75.81803,78.62312,75.70914,39.25253,51.14225,60.48185,69.73782,81.29314,599.17630,572.96890,598.02330,572.62550,5241.98800,724.71460,6120.38400,1073.10000,0.00000,2.75623,3.84608,1.28813,41.74648,61.00000,83.00000
23669.00000,0.09386,2.02424,47.33800,295.10660,1.00000,0.00000,0.00000,0.00000,0.00000,514.72890,139.35350,2355.59200,-1.72586,119.60780,0.25051,102.60000,0.00000,0.00000,1.00000,0.00000,77.27969,5700.00000,0.00000,0.00000,4.00000,0.00164,1.72743,-0.39073,0.13739,NaN,NaN,-28.15400,28.36925,-0.00089,584.70400,583.76800,-46.44629,-511.25120,-40.42000,-444.92700,78.75446,75.39344,78.44180,75.61395,41.49125,50.44162,60.82442,68.39407,82.45766,598.55060,570.53910,597.20230,570.13820,5468.61700,1025.84900,5641.44600,459.12630,0.00000,2.76732,3.82288,1.28929,41.99148,60.00000,84.00000
23679.00000,0.11386,2.45244,47.35800,295.53480,1.00000,0.00000,0.00000,0.00000,0.00000,515.08390,139.36810,2355.35100,-1.65186,120.44460,0.25014,108.59400,0.00000,0.00000,1.00000,0.00000,77.02248,6033.00000,0.00000,0.00000,4.00000,0.00207,1.63043,-0.38565,0.00129,NaN,NaN,-28.06600,28.33087,-0.00104,582.75100,582.07200,-46.97612,-506.70410,-40.88100,-440.97000,78.66144,74.94301,78.28279,75.35339,45.00590,50.00019,60.63625,68.58233,83.67035,597.72100,567.51730,595.22050,568.60730,4777.21500,1288.98200,4712.89400,397.42560,0.00000,2.80819,3.77771,1.29200,42.63943,59.00000,86.00000
23689.00000,0.13386,2.87922,47.37800,295.96150,1.00000,0.00000,0.00000,0.00000,0.00000,515.43350,139.38340,2355.10400,-1.59415,121.34160,0.16402,114.58800,0.00000,0.00000,1.00000,0.00000,76.78714,6366.00000,0.00000,0.00000,4.00000,0.00250,1.54002,-0.34130,-0.29554,NaN,NaN,-27.93700,28.28859,-0.00119,580.48300,579.50500,-37.91383,-499.76110,-32.99500,-434.92700,78.39599,74.61960,78.03131,74.89704,45.80536,50.54152,60.60061,69.23088,84.54076,595.55680,564.85300,592.88900,565.58350,3765.44800,1336.87100,4129.46800,542.27970,0.00000,2.76263,3.76158,1.29167,42.34432,60.00000,87.00000
23699.00000,0.15386,3.30462,47.39800,296.38690,1.00000,0.00000,0.00000,0.00000,0.00000,515.77820,139.39830,2354.85300,-1.54126,122.26210,0.09658,120.60000,0.00000,0.00000,1.00000,0.00000,76.55223,6700.00000,0.00000,0.00000,4.00000,0.00292,1.50436,-0.36773,-0.17291,NaN,NaN,-27.80500,28.23960,-0.00134,577.49400,576.93900,-44.86733,-510.01090,-39.04600,-443.84700,78.16048,74.20250,77.83534,74.61289,48.03420,51.08276,60.19756,69.84079,85.38503,592.73410,561.94350,590.82860,562.70690,3576.30000,1859.55300,4210.50200,473.09480,0.00000,2.76276,3.74323,1.29234,42.46485,60.00000,88.00000
