Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
25089.00000,-0.03144,-0.66538,50.17800,280.66940,1.00000,0.00000,11.00000,50.20735,1.00000,514.86200,139.32210,2360.10600,-1.56201,128.05960,-0.99539,15.58800,64.20000,0.00000,1.00000,0.00000,75.57327,866.00000,6420.00000,0.00000,4.00000,0.28029,0.87085,0.94976,0.09324,NaN,NaN,287.83700,96.14738,0.33768,586.62800,601.66300,257.88340,28.35901,1133.23300,3190.45700,77.91997,78.33561,78.73309,79.02432,17.17637,50.49506,60.68996,64.99353,77.15005,586.87790,587.38130,601.73640,600.38540,2980.23700,502.91750,5709.63100,3249.48300,0.00000,3.05438,4.07550,1.27864,42.83915,56.00000,71.00000
25099.00000,-0.01144,-0.24096,50.19800,281.09390,1.00000,0.00000,0.00000,0.00000,0.00000,515.19070,139.33700,2359.84200,-1.57437,128.39600,-1.05994,5.09400,70.19000,0.00000,1.00000,0.00000,76.23396,283.00000,7019.00000,0.00000,4.00000,-0.00062,0.65823,0.92368,-0.09456,NaN,NaN,305.49800,304.28990,0.00034,596.58100,599.04000,-152.86410,-266.58940,1291.84500,3059.75500,82.00145,81.94256,78.74915,79.16331,9.41698,50.92973,60.77766,66.27000,76.91148,601.36910,597.46420,598.94450,599.21600,0.00000,1324.92300,6801.75500,3026.95800,0.00000,2.96966,4.08809,1.27656,42.07659,59.00000,72.00000
25109.00000,0.00856,0.18753,50.21800,281.52240,1.00000,0.00000,0.00000,0.00000,0.00000,515.52290,139.35050,2359.57700,-1.52997,128.57890,-1.13361,0.00000,76.19000,0.00000,1.00000,0.00000,76.92165,0.00000,7619.00000,0.00000,4.00000,-0.00020,0.49438,1.17616,0.14205,NaN,NaN,322.63700,313.44030,0.00209,622.65100,598.23400,845.66600,391.75680,1941.63500,3065.48700,78.84279,78.86991,79.01180,79.44046,4.14368,54.39273,59.66237,69.61450,77.23844,613.21800,617.35800,598.01970,598.92630,6439.95500,1904.39200,9182.90000,2520.11200,0.00000,2.96591,4.07781,1.27853,42.10712,58.00000,74.00000
25119.00000,0.02856,0.62101,50.23800,281.95580,1.00000,0.00000,0.00000,0.00000,0.00000,515.85930,139.36380,2359.30900,-1.46668,128.65950,-1.25763,0.00000,82.19000,0.00000,1.00000,0.00000,77.75351,0.00000,8219.00000,0.00000,4.00000,0.00023,0.43233,1.23230,0.08946,NaN,NaN,382.00800,333.52330,0.00406,598.71900,602.17400,626.90860,659.70000,2460.46900,3045.78100,80.41506,80.44327,79.96645,80.20795,1.92797,57.16404,58.03618,73.00475,77.56760,599.59920,599.22750,602.60190,602.51860,3897.64300,2392.72500,6172.65300,2680.65700,0.00000,3.06054,4.06161,1.28249,42.97208,58.00000,77.00000
25129.00000,0.04856,1.05913,50.25800,282.39400,1.00000,0.00000,0.00000,0.00000,0.00000,516.19910,139.37830,2359.03900,-1.43430,128.69690,-1.42896,0.00000,88.19000,0.00000,1.00000,0.00000,78.62113,0.00000,8819.00000,0.00000,4.00000,0.00066,0.06266,1.19284,-0.21139,NaN,NaN,428.56200,358.83030,0.00632,619.89600,611.44400,-273.47500,119.49050,2884.87500,2999.66200,86.25644,85.94916,81.98005,81.93372,0.19927,57.14607,56.69248,73.73086,77.69802,623.79900,622.06520,612.99790,612.00550,38.60181,2405.49400,2504.91200,2998.01300,0.00000,3.10331,4.02732,1.28629,43.52080,59.00000,78.00000
25139.00000,0.06856,1.50182,50.27800,282.83660,1.00000,0.00000,0.00000,0.00000,0.00000,516.54270,139.39350,2358.76600,-1.44092,128.69720,-1.52646,0.00000,94.19000,0.00000,1.00000,0.00000,79.45081,0.00000,9419.00000,0.00000,4.00000,0.00110,-0.00057,0.96575,-0.42591,NaN,NaN,455.49800,380.14340,0.00878,684.79400,628.45000,-1347.24300,-1034.48300,2625.95600,2921.71700,97.54194,97.42961,85.78161,85.74265,-2.93878,55.08044,56.09846,72.21774,77.87153,691.14970,691.45670,631.86530,629.98580,0.00000,2041.49500,685.68860,2991.55700,0.00000,3.04378,4.02259,1.28522,43.07417,59.00000,78.00000
25149.00000,0.08856,1.94864,50.29800,283.28350,1.00000,0.00000,0.00000,0.00000,0.00000,516.89030,139.40790,2358.49000,-1.45487,128.63630,-1.45010,0.00000,100.00000,0.00000,1.00000,0.00000,80.15581,0.00000,10000.00000,0.00000,4.00000,0.00155,-0.13175,1.14889,-0.04780,NaN,NaN,494.97000,400.70160,0.01143,774.35400,659.41700,-1177.25600,-589.84530,2582.25500,3054.26300,109.80420,109.65060,84.57610,84.90744,-4.88248,53.12511,55.81006,71.54408,78.02409,781.30020,781.45480,656.71300,659.71320,56.53833,2224.02800,5082.08000,3003.16900,0.00000,3.04528,4.02345,1.28522,43.08099,59.00000,77.00000
25159.00000,0.10856,2.40047,50.31800,283.73530,1.00000,0.00000,0.00000,0.00000,0.00000,517.24190,139.42140,2358.21300,-1.46530,128.54030,-1.37921,0.00000,100.00000,0.00000,1.00000,0.00000,80.99326,0.00000,10000.00000,0.00000,4.00000,0.00199,-0.07671,1.53364,0.16767,NaN,NaN,434.91800,413.90960,0.01407,844.68500,626.76600,-98.32935,574.61780,2349.86400,3071.81200,108.64220,108.93200,83.47530,83.49661,-3.93019,55.27917,55.09952,71.84493,77.45436,840.90130,843.58300,628.36890,627.96860,6002.04200,2575.83000,4054.71400,3629.28200,0.00000,3.07957,4.03183,1.28508,43.30470,58.00000,76.00000
25169.00000,0.12856,2.85880,50.33800,284.19360,1.00000,0.00000,0.00000,0.00000,0.00000,517.59800,139.43640,2357.93300,-1.50665,128.46410,-1.43237,0.00000,100.00000,0.00000,1.00000,0.00000,82.06728,0.00000,10000.00000,0.00000,4.00000,0.00245,-0.15535,1.59055,-0.08009,NaN,NaN,468.34600,418.26730,0.01654,796.62200,641.66200,1005.08700,-1305.22300,3030.96300,2837.78700,103.33590,103.38270,86.19756,86.08810,-4.00587,58.06294,54.95879,71.69667,75.73551,792.67620,792.60600,646.51450,643.02310,4199.18800,2128.71200,1843.89500,4632.69100,0.00000,3.09444,4.06286,1.28382,43.23479,59.00000,76.00000
