Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
14959.00000,-0.02085,-0.55746,29.91800,290.89480,1.00000,0.00000,0.00000,0.00000,0.00000,523.58160,139.70020,2371.15700,-2.18335,108.51860,1.21761,149.99400,0.00000,0.00000,1.00000,0.00000,96.28639,8333.00000,0.00000,0.00000,4.00000,0.29041,0.46118,-0.21956,-0.88917,NaN,NaN,-35.34300,159.64990,0.53819,721.69200,725.01300,0.00000,-386.37950,-39.13800,-433.13900,95.92139,95.92139,95.74732,96.36176,19.46064,55.70912,64.46582,75.25089,84.74469,721.49900,721.49900,724.74080,724.77840,0.00000,0.00000,3041.98300,0.00000,0.00000,-0.09501,3.14096,1.21665,-3.11933,167.00000,86.00000
14969.00000,-0.00085,-0.02454,29.93800,291.42770,1.00000,0.00000,0.00000,0.00000,0.00000,524.08830,139.71690,2370.98900,-2.10700,108.90430,0.73716,149.99400,0.00000,0.00000,1.00000,0.00000,96.11703,8333.00000,0.00000,0.00000,4.00000,-0.00050,0.54428,-0.22539,-0.77606,NaN,NaN,-35.22700,35.26546,-0.00017,719.10800,722.79000,0.00000,-425.25090,-39.18600,-443.08500,95.57497,95.57497,95.43639,96.16927,14.22187,58.17720,64.41343,75.57741,85.89017,718.91410,718.91410,722.72950,722.70450,0.00000,0.00000,3662.00400,0.00000,0.00000,0.21823,3.35420,1.21665,6.10886,162.00000,86.00000
14979.00000,0.01915,0.50739,29.95800,291.95960,1.00000,0.00000,0.00000,0.00000,0.00000,524.59440,139.72890,2370.82300,-1.97214,109.18520,0.21706,149.99400,0.00000,0.00000,1.00000,0.00000,95.94735,8333.00000,0.00000,0.00000,4.00000,0.00003,0.54525,-0.22387,-0.72931,NaN,NaN,-35.15200,35.22392,-0.00036,716.50400,721.47900,0.00000,-422.01040,-39.64900,-441.79300,95.22461,95.22461,95.10050,95.96204,8.59951,59.84458,64.30465,75.23769,86.78266,716.30840,716.30840,721.36250,721.38300,0.00000,0.00000,4163.03600,0.00000,0.00000,0.20168,3.34310,1.21665,5.68959,156.00000,84.00000
14989.00000,0.03915,1.03792,29.97800,292.49010,1.00000,0.00000,0.00000,0.00000,0.00000,525.10000,139.73590,2370.65900,-1.76679,109.35100,-0.37772,149.99400,0.00000,0.00000,1.00000,0.00000,95.78698,8333.00000,0.00000,0.00000,4.00000,0.00056,0.80683,-0.23093,-0.27936,NaN,NaN,-35.04700,35.18118,-0.00055,713.87200,719.49600,0.00000,-469.23490,-39.97600,-412.41900,94.87251,94.87251,94.64574,95.06462,1.83549,60.82719,64.39340,74.29367,85.12250,713.67430,713.67430,719.20250,718.09660,0.00000,0.00000,4429.10600,2046.48600,0.00000,0.25571,3.37958,1.21665,7.03402,149.00000,88.00000
14999.00000,0.05915,1.56769,29.99800,293.01990,1.00000,0.00000,0.00000,0.00000,0.00000,525.60460,139.73800,2370.49500,-1.46106,109.38740,-0.94736,149.99400,0.00000,0.00000,1.00000,0.00000,95.64433,8333.00000,0.00000,0.00000,4.00000,0.00109,-0.08184,-0.07367,-1.10847,NaN,NaN,-34.82900,35.11822,-0.00074,711.24300,715.07500,0.00000,-239.81870,-39.84500,-394.75400,94.52507,94.52507,93.55154,93.81850,0.97974,61.80474,64.19751,75.52990,85.36259,711.04590,711.04590,713.99520,714.32330,0.00000,0.00000,0.00000,0.00000,0.00000,0.37677,3.46124,1.21665,9.81687,137.00000,122.00000
15009.00000,0.07915,2.09735,30.01800,293.54960,1.00000,0.00000,0.00000,0.00000,0.00000,526.10880,139.73550,2370.33300,-1.11404,109.39620,-1.58740,149.99400,0.00000,0.00000,1.00000,0.00000,95.58517,8333.00000,0.00000,0.00000,4.00000,0.00162,0.03582,-0.07344,-1.26173,NaN,NaN,-33.88300,34.96363,-0.00093,708.74800,694.96300,0.00000,0.00000,-34.25400,-338.69300,94.22577,94.22577,90.81878,90.81878,1.00630,62.46582,64.35344,78.19852,86.09795,708.57910,708.57910,693.28500,693.28500,0.00000,0.00000,0.00000,0.00000,0.00000,0.13647,3.29817,1.21665,3.97344,121.00000,118.00000
15019.00000,0.09915,2.62671,30.03800,294.07890,1.00000,0.00000,0.00000,0.00000,0.00000,526.61290,139.72930,2370.17000,-0.79135,109.40660,-2.23196,149.99400,0.00000,0.00000,1.00000,0.00000,95.54238,8333.00000,0.00000,0.00000,4.00000,0.00215,0.04673,-0.06813,-1.27816,NaN,NaN,-32.78500,34.68497,-0.00113,706.72000,672.34500,0.00000,0.00000,-26.67800,-346.27200,93.99367,93.99367,87.75790,87.75790,1.03239,62.95216,64.45211,80.36754,86.73754,706.58870,706.58870,670.62890,670.62890,0.00000,0.00000,0.00000,0.00000,0.00000,1.69163,3.23326,1.27469,34.34854,102.00000,142.00000
15029.00000,0.11915,3.15432,30.05800,294.60650,1.00000,0.00000,0.00000,0.00000,0.00000,527.11640,139.71880,2370.00800,-0.48459,109.42450,-2.84992,149.99400,0.00000,0.00000,1.00000,0.00000,95.42097,8333.00000,0.00000,0.00000,4.00000,0.00268,0.90232,-0.69790,0.05754,NaN,NaN,-31.61400,34.32920,-0.00132,703.15700,649.21400,-15.18455,0.00000,15.74800,-354.16600,93.81638,91.90903,86.24715,86.87919,11.64429,62.54494,55.05529,81.19020,84.45254,705.51680,700.27540,647.45890,647.90930,0.00000,9652.57000,0.00000,1482.62100,0.00000,1.98092,3.04710,1.28695,39.39762,79.00000,126.00000
15039.00000,0.13915,3.67195,30.07800,295.12420,1.00000,0.00000,0.00000,0.00000,0.00000,527.55950,139.72350,2369.74500,-0.60718,111.77700,-1.94327,149.99400,0.00000,0.00000,1.00000,0.00000,87.10999,8333.00000,0.00000,0.00000,4.00000,0.00321,-0.16927,-0.03203,-1.21923,NaN,NaN,-31.11000,33.98740,-0.00151,682.80600,639.24200,-115.04190,-351.93830,-100.11700,-325.36600,93.25494,88.81808,82.92183,82.83941,224.51710,64.44621,65.14388,76.65250,89.38914,702.15760,666.92140,637.15580,637.24950,0.00000,0.00000,0.00000,0.00000,0.00000,1.79895,3.22078,1.27836,35.83760,91.00000,107.00000
