Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
10379.00000,-0.03929,-0.59423,20.75800,284.21140,1.00000,0.00000,0.00000,0.00000,0.00000,521.91790,139.51520,2368.82500,0.92512,137.39690,-2.35138,0.00000,0.00000,0.00000,1.00000,0.00000,54.22450,0.00000,0.00000,0.00000,4.00000,0.28394,-0.24158,-0.50214,0.65305,NaN,NaN,-19.21200,173.81370,0.37115,415.47000,404.82300,42.50554,541.07820,-36.99100,-470.88500,54.52312,54.23802,54.18763,53.93106,0.38089,44.69603,29.16297,82.72421,81.07751,415.16450,415.52710,402.49190,407.38960,1696.76700,8365.27400,1859.07700,2886.57600,0.00000,3.66244,3.39333,1.29667,51.90707,33.00000,93.00000
10389.00000,-0.01929,-0.29341,20.77800,284.51220,1.00000,0.00000,0.00000,0.00000,0.00000,522.11960,139.52730,2368.60100,0.66328,137.41610,-2.15436,0.00000,0.00000,0.00000,1.00000,0.00000,53.89877,0.00000,0.00000,0.00000,4.00000,-0.00056,-0.41413,-0.35884,0.43264,NaN,NaN,-19.36300,19.33241,-0.00010,413.50900,408.34800,23.14810,107.34820,-34.61000,-454.50000,54.32473,54.02388,54.00512,53.97704,1.37204,43.66559,35.05442,80.07533,80.44726,413.33590,413.24800,408.59560,408.16130,341.43920,6396.51500,3831.30000,2643.73900,0.00000,3.73858,3.55730,1.29906,51.24241,39.00000,89.00000
10399.00000,0.00071,0.00665,20.79800,284.81230,1.00000,0.00000,0.00000,0.00000,0.00000,522.32060,139.54450,2368.37800,0.29681,137.45590,-1.80618,0.00000,0.00000,0.00000,1.00000,0.00000,53.65834,0.00000,0.00000,0.00000,4.00000,-0.00026,-0.02773,-0.20103,0.09415,NaN,NaN,-19.35600,19.34699,-0.00022,409.95500,408.56000,-2.92657,-286.52430,-32.02400,-452.75100,54.00206,53.87751,53.73629,53.85227,1.54721,46.91750,40.32186,75.41541,78.66749,409.67570,409.66910,408.66350,408.39130,903.52940,0.00000,5056.09600,4001.81600,0.00000,3.66242,3.81089,1.30037,49.00666,49.00000,84.00000
10409.00000,0.02071,0.30488,20.81800,285.11050,1.00000,0.00000,0.00000,0.00000,0.00000,522.52130,139.56080,2368.15500,0.00151,137.49040,-1.55457,0.00000,0.00000,0.00000,1.00000,0.00000,53.51672,0.00000,0.00000,0.00000,4.00000,0.00004,0.02819,-0.13829,-0.51305,NaN,NaN,-19.27200,19.33749,-0.00033,405.92800,407.12000,34.74749,-378.26790,-30.23900,-436.65300,53.57850,53.70125,53.38602,53.89496,0.88868,52.63654,44.14701,72.78910,77.36185,405.47080,405.84660,406.57600,407.17900,1096.87700,0.00000,4557.80300,0.00000,0.00000,3.25634,3.94638,1.29316,45.20989,59.00000,80.00000
10419.00000,0.04071,0.60126,20.83800,285.40690,1.00000,0.00000,0.00000,0.00000,0.00000,522.72170,139.57220,2367.93500,-0.13113,137.51160,-1.45334,0.00000,0.00000,0.00000,1.00000,0.00000,53.40454,0.00000,0.00000,0.00000,4.00000,0.00033,0.15110,-0.17867,-0.45799,NaN,NaN,-19.14100,19.30068,-0.00045,402.51100,404.56100,8.09563,-437.58020,-36.42500,-446.93400,53.19518,53.31182,53.06462,53.62517,-0.15044,58.70634,49.50637,71.94719,79.67242,402.31650,402.29190,404.29620,404.54160,1319.06600,0.00000,4670.64100,0.00000,0.00000,2.36283,3.04680,1.29147,43.67826,64.00000,132.00000
10429.00000,0.06071,0.89650,20.85800,285.70210,1.00000,0.00000,0.00000,0.00000,0.00000,522.92310,139.57870,2367.71800,-0.15756,137.51060,-1.73068,0.00000,0.00000,0.00000,1.00000,0.00000,53.27604,0.00000,0.00000,0.00000,4.00000,0.00063,0.14294,-0.15413,-0.75772,NaN,NaN,-19.00000,19.25489,-0.00056,399.97600,401.66500,19.32695,-111.30680,-47.80200,-362.87300,53.13208,53.08670,51.65918,51.65918,0.22739,64.28361,51.36314,73.89411,81.79000,399.94580,400.20010,398.39270,400.31950,881.42350,4266.05800,0.00000,0.00000,0.00000,2.70893,2.90197,1.29073,48.27981,65.00000,129.00000
10439.00000,0.08071,1.19152,20.87800,285.99720,1.00000,0.00000,0.00000,0.00000,0.00000,523.12360,139.58240,2367.50100,-0.17831,137.51830,-2.00937,0.00000,0.00000,0.00000,1.00000,0.00000,53.16930,0.00000,0.00000,0.00000,4.00000,0.00093,0.05185,-0.17394,-0.71627,NaN,NaN,-17.97800,19.11970,-0.00068,401.49500,378.98200,54.84885,0.00000,-47.73300,-341.68500,53.24981,53.09184,48.64754,48.64754,0.96324,64.86285,52.90487,76.55761,83.68286,401.09780,402.03880,377.28870,377.28870,0.00000,5185.92700,0.00000,0.00000,0.00000,2.64759,2.95913,1.29186,47.22172,65.00000,120.00000
10449.00000,0.10071,1.48698,20.89800,286.29260,1.00000,0.00000,0.00000,0.00000,0.00000,523.32240,139.58540,2367.28300,-0.27747,137.54140,-1.98825,0.00000,0.00000,0.00000,1.00000,0.00000,53.05427,0.00000,0.00000,0.00000,4.00000,0.00122,-0.04399,-0.05983,-0.89763,NaN,NaN,-16.89500,18.87902,-0.00078,402.01400,356.12700,34.35819,0.00000,-29.90000,-350.38000,53.26749,53.09612,45.55999,45.55999,1.24886,62.25803,52.09768,78.75106,85.08032,401.47090,402.50610,354.39140,354.39140,0.00000,0.00000,0.00000,0.00000,0.00000,2.58051,3.08780,1.29162,45.52527,64.00000,107.00000
10459.00000,0.12071,1.78180,20.91800,286.58750,1.00000,0.00000,0.00000,0.00000,0.00000,523.52030,139.58720,2367.06400,-0.44138,137.57220,-1.74851,0.00000,0.00000,0.00000,1.00000,0.00000,52.98272,0.00000,0.00000,0.00000,4.00000,0.00152,-0.04440,-0.27732,-0.40343,NaN,NaN,-15.99000,18.57343,-0.00085,401.36700,338.08000,0.00000,314.17990,-14.40300,-439.31300,53.17519,53.17108,46.36665,44.88005,1.87034,56.89609,48.04340,80.86145,78.47417,401.29650,401.29650,337.34020,336.58580,1674.12200,0.00000,7383.50100,1621.57800,0.00000,2.72701,3.44765,1.29354,44.16453,60.00000,90.00000
