Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,LiftAndCoast,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,WheelLoadFL,WheelLoadFR,WheelLoadRL,WheelLoadRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,,km/h,,,,,km,G,G,G,,,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,N,N,N,N,%,,,,%,mm,mm
40069.00000,0.15282,3.50587,80.13800,279.33300,1.00000,0.00000,0.00000,0.00000,0.00000,516.02750,139.40970,2354.89600,-1.64600,126.48040,-0.68970,63.90000,100.00000,0.00000,1.00000,0.00000,85.29381,3550.00000,10000.00000,0.00000,4.00000,0.00308,0.12443,1.28374,-0.17864,NaN,NaN,417.23300,407.01910,0.01922,932.99900,662.63000,-591.17040,172.84840,1797.41500,3030.72300,124.27890,124.21390,88.03608,88.23939,5.37091,58.93722,56.38951,71.49413,75.69432,933.15630,932.75000,663.10610,663.30200,964.58090,1572.25300,3799.41400,2463.26800,100.00000,1.63709,3.06413,0.95221,34.82261,65.00000,81.00000
40079.00000,0.17282,3.98590,80.15800,279.81300,1.00000,0.00000,0.00000,0.00000,0.00000,516.40740,139.42550,2354.60900,-1.60992,126.58590,-0.59711,53.38800,100.00000,0.00000,1.00000,0.00000,86.18169,2966.00000,10000.00000,0.00000,4.00000,0.00355,0.17375,1.23641,-0.26276,NaN,NaN,419.34000,408.23380,0.02155,943.29700,669.04800,-220.79940,403.28440,1706.52800,3005.72800,126.06830,125.93330,89.00621,89.28500,5.57050,59.39144,56.69749,71.86317,76.62848,943.85310,944.59280,669.83140,670.32820,1147.78800,1687.66800,4047.42700,2251.87900,100.00000,1.59016,3.03907,0.95185,34.35039,65.00000,81.00000
40089.00000,0.19282,4.47127,80.17800,280.29840,1.00000,0.00000,0.00000,0.00000,0.00000,516.79090,139.44070,2354.31800,-1.58322,126.69750,-0.51172,42.89400,100.00000,0.00000,1.00000,0.00000,87.06549,2383.00000,10000.00000,0.00000,4.00000,0.00403,0.21635,1.31065,-0.05837,NaN,NaN,421.70000,409.45320,0.02387,952.80000,676.23800,-175.30470,392.09470,1733.74900,3036.10800,127.04950,126.83410,89.57076,89.76729,5.56898,59.67533,56.86355,72.02274,77.27200,953.35480,953.28360,676.77950,676.71670,1294.12400,1980.99100,4359.00300,2757.98500,100.00000,1.59933,3.01561,0.95288,34.65548,65.00000,82.00000
40099.00000,0.21282,4.96176,80.19801,280.78890,1.00000,0.00000,0.00000,0.00000,0.00000,517.17800,139.45570,2354.02400,-1.56448,126.80830,-0.44806,32.40000,100.00000,0.00000,1.00000,0.00000,87.99091,1800.00000,10000.00000,0.00000,4.00000,0.00452,0.18825,1.38816,0.08812,NaN,NaN,423.10500,410.60130,0.02623,954.01000,680.52100,-416.44650,25.83887,1814.93900,3028.27900,125.90150,125.69590,90.15456,90.40650,4.82223,59.68890,56.39088,71.57457,77.31417,953.41380,953.39440,681.10340,680.94520,1411.45000,2199.59800,4978.74400,3289.75500,100.00000,1.60384,3.03639,0.95185,34.56388,64.00000,80.00000
40109.00000,0.23282,5.45752,80.21800,281.28470,1.00000,0.00000,0.00000,0.00000,0.00000,517.56910,139.47090,2353.72600,-1.54926,126.90360,-0.37082,21.88800,100.00000,0.00000,1.00000,0.00000,88.96394,1216.00000,10000.00000,0.00000,4.00000,0.00501,0.11475,1.36834,0.09261,NaN,NaN,425.06200,411.69650,0.02859,942.65800,686.48900,-387.51460,45.19702,1849.86200,3031.49400,124.21930,124.22410,91.15542,91.40569,3.91701,59.64729,55.85462,70.65439,76.98694,941.92880,941.67300,687.01790,687.05620,1401.80100,1857.14400,4625.68800,3327.88100,100.00000,1.67277,3.06438,0.95221,35.31177,64.00000,79.00000
40119.00000,0.25282,5.95871,80.23801,281.78580,1.00000,0.00000,0.00000,0.00000,0.00000,517.96440,139.48630,2353.42500,-1.52811,126.98110,-0.30243,11.39400,100.00000,0.00000,1.00000,0.00000,89.93088,633.00000,10000.00000,0.00000,4.00000,0.00551,0.13671,1.38604,-0.03354,NaN,NaN,433.83900,412.97830,0.03097,932.90200,694.95300,-414.85460,161.52220,1925.47100,2997.30800,123.35620,123.24400,92.40170,92.64422,3.10665,59.65617,55.68513,70.67474,77.10457,932.09260,932.05000,695.85210,696.49830,1331.46100,2119.89400,4269.81400,2746.57500,100.00000,1.67303,3.08188,0.95107,35.18528,64.00000,79.00000
40129.00000,0.27282,6.46541,80.25800,282.29250,1.00000,0.00000,0.00000,0.00000,0.00000,518.36410,139.50210,2353.12100,-1.51364,127.04280,-0.25552,0.90000,100.00000,0.00000,1.00000,0.00000,90.89975,50.00000,10000.00000,0.00000,4.00000,0.00601,0.01794,1.47725,0.10632,NaN,NaN,447.05100,415.09910,0.03343,929.85500,701.91500,-409.94430,-79.63940,1951.49400,3053.92800,122.62410,122.49140,93.15616,93.34669,1.95648,59.66404,55.42699,70.97733,76.52458,930.34800,929.57020,702.63130,702.03020,1647.12800,2586.29000,4053.08600,3177.94700,100.00000,1.69020,3.08750,0.95107,35.37683,64.00000,80.00000
40139.00000,0.29282,6.97768,80.27801,282.80480,1.00000,0.00000,0.00000,0.00000,0.00000,518.76840,139.51830,2352.81400,-1.50873,127.08210,-0.17703,0.00000,100.00000,0.00000,1.00000,0.00000,91.91487,0.00000,10000.00000,0.00000,4.00000,0.00652,0.09846,1.35809,0.00684,NaN,NaN,462.23200,417.59680,0.03594,917.21700,710.83800,-232.73320,156.72240,2155.20200,3031.42400,122.22850,122.21980,94.33252,94.51089,1.50785,59.15364,55.46167,71.26627,76.38293,916.93410,918.68030,711.10340,711.44930,1722.39500,1596.69800,4272.26200,3240.02000,100.00000,1.69947,3.07002,0.95221,35.63218,63.00000,80.00000
40149.00000,0.31282,7.49556,80.29800,283.32270,1.00000,0.00000,0.00000,0.00000,0.00000,519.17740,139.53510,2352.50300,-1.52078,127.11250,-0.11057,0.00000,100.00000,0.00000,1.00000,0.00000,92.88190,0.00000,10000.00000,0.00000,4.00000,0.00703,-0.06609,1.46165,0.00807,NaN,NaN,467.38800,420.73900,0.03853,925.95000,717.78400,157.49410,106.86520,2098.29300,3025.56500,122.63430,122.61540,95.28489,95.36257,1.34598,58.62856,55.86713,71.57549,76.14741,926.20770,926.06350,718.89070,718.36320,1840.44600,2132.61100,4055.59400,3598.93200,100.00000,1.75567,3.07193,0.95360,36.36744,63.00000,80.00000
40159.00000,0.33282,8.01920,80.31800,283.84630,1.00000,0.00000,0.00000,0.00000,0.00000,519.59080,139.55210,2352.18900,-1.54163,127.13910,-0.08386,0.00000,100.00000,0.00000,1.00000,0.00000,93.89120,0.00000,10000.00000,0.00000,4.00000,0.00755,0.04152,1.49249,0.08773,NaN,NaN,475.13200,423.72640,0.04114,922.35500,724.64900,-190.75140,-55.77441,2230.08700,3037.00100,121.66190,121.66350,96.23816,96.24913,0.75231,58.04378,55.83185,71.77514,75.28752,921.81960,921.50800,725.17730,725.08670,2009.64000,2121.98000,4154.59800,4172.17300,100.00000,1.81131,3.09626,0.95379,36.90855,62.00000,79.00000
40169.00000,0.35282,8.54841,80.33801,284.37550,1.00000,0.00000,0.00000,0.00000,0.00000,520.00890,139.56990,2351.87300,-1.57639,127.15400,-0.04077,0.00000,100.00000,0.00000,1.00000,0.00000,94.93481,0.00000,10000.00000,0.00000,4.00000,0.00807,0.02314,1.44755,0.10846,NaN,NaN,488.55800,427.08720,0.04382,915.33600,732.47700,-11.82007,-76.89648,2341.93000,3016.48200,121.25970,121.27680,97.33366,97.32781,0.48915,57.40419,55.95100,71.92305,74.39157,915.03860,914.88130,733.14540,733.15480,2005.79400,1911.25200,4232.65700,4213.27200,100.00000,1.80797,3.11655,0.95261,36.71367,62.00000,78.00000
40179.00000,0.37282,9.08352,80.35800,284.91060,1.00000,0.00000,0.00000,0.00000,0.00000,520.43150,139.58860,2351.55200,-1.62143,127.16420,0.01206,0.00000,100.00000,0.00000,1.00000,0.00000,95.96700,0.00000,10000.00000,0.00000,4.00000,0.00860,0.05409,1.41353,0.08865,NaN,NaN,497.84900,430.79880,0.04657,916.25900,740.27400,129.52880,-27.50159,2341.68600,3026.26200,122.15340,122.26480,98.38004,98.39709,0.37423,57.13144,56.23424,72.00954,73.82130,916.76910,916.85680,740.86960,740.85960,1924.55700,1651.82000,4162.37900,4011.49800,100.00000,1.80611,3.11528,0.95261,36.69915,62.00000,78.00000
40189.00000,0.39282,9.62411,80.37801,285.45120,1.00000,0.00000,0.00000,0.00000,0.00000,520.85870,139.60770,2351.22800,-1.66721,127.17190,0.05659,0.00000,100.00000,0.00000,1.00000,0.00000,96.96506,0.00000,10000.00000,0.00000,4.00000,0.00914,0.04750,1.45594,0.19750,NaN,NaN,499.47900,434.40940,0.04935,926.97300,747.88200,375.16600,-122.24650,2314.24300,3023.72300,123.04730,123.13990,99.21537,99.18997,0.49958,56.59106,56.72499,72.09423,72.90920,926.21510,927.53250,748.51350,748.38540,2410.44900,1825.42900,4441.70900,4663.92800,100.00000,1.74725,3.11214,0.95127,35.95618,62.00000,78.00000
40199.00000,0.41282,10.17060,80.39800,285.99770,1.00000,0.00000,0.00000,0.00000,0.00000,521.29040,139.62700,2350.90000,-1.70651,127.18120,0.08455,0.00000,100.00000,0.00000,1.00000,0.00000,97.98857,0.00000,10000.00000,0.00000,4.00000,0.00968,0.03771,1.48910,0.13632,NaN,NaN,505.23700,437.73010,0.05214,927.54800,756.23800,144.51000,54.60815,2392.10600,3027.12400,122.60360,122.79230,100.40680,100.47060,0.59992,56.17017,56.76821,72.03629,72.80537,927.13940,927.15550,756.65500,756.74820,2243.90900,1732.58700,4447.50500,3999.77600,100.00000,1.79796,3.13231,0.95136,36.46777,62.00000,77.00000
